DT,pres,dwpt,prcp,rhum,wdir,temp,wspd
2022-01-12 14:00:00,1022.5,7.2,0.0,86.0,30.0,9.4,7.6
2022-01-12 15:00:00,1022.1,7.2,0.0,89.0,0.0,8.9,0.0
2022-01-12 16:00:00,1022.0,6.8,0.0,90.0,0.0,8.3,0.0
2022-01-12 17:00:00,1022.0,6.1,0.0,93.0,0.0,7.2,0.0
2022-01-12 18:00:00,1022.1,7.8,0.0,86.0,0.0,10.0,0.0
2022-01-12 19:00:00,1022.0,6.6,0.0,74.0,0.0,11.1,0.0
2022-01-12 20:00:00,1021.2,6.2,0.0,64.0,0.0,12.8,0.0
2022-01-12 21:00:00,1020.6,6.6,0.0,64.0,0.0,13.3,0.0
2022-01-12 22:00:00,1020.0,6.7,0.0,60.0,110.0,14.4,9.4
2022-01-12 23:00:00,1019.4,7.9,0.0,67.0,120.0,13.9,7.6
2022-01-13 00:00:00,1018.9,7.7,0.0,69.0,60.0,13.3,5.4
2022-01-13 01:00:00,1018.5,6.7,0.0,77.0,350.0,10.6,9.4
2022-01-13 02:00:00,1018.2,5.6,0.0,83.0,0.0,8.3,0.0
2022-01-13 03:00:00,1018.9,5.1,0.0,93.0,270.0,6.1,11.2
2022-01-13 04:00:00,1019.0,5.1,0.0,93.0,0.0,6.1,0.0
2022-01-13 05:00:00,1019.2,4.0,0.0,93.0,0.0,5.0,0.0
2022-01-13 06:00:00,1018.7,5.1,0.0,93.0,90.0,6.1,7.6
2022-01-13 07:00:00,1018.6,5.0,0.0,89.0,100.0,6.7,14.8
2022-01-13 08:00:00,1018.3,5.7,0.0,90.0,300.0,7.2,7.6
2022-01-13 09:00:00,1018.1,5.6,0.3,93.0,0.0,6.7,0.0
2022-01-13 10:00:00,1017.7,5.1,0.0,93.0,0.0,6.1,0.0
2022-01-13 11:00:00,1017.6,5.0,0.2,89.0,10.0,6.7,7.0
2022-01-13 12:00:00,1017.1,6.7,1.0,93.0,0.0,7.8,0.0
2022-01-13 13:00:00,1017.2,7.8,0.0,83.0,190.0,10.6,22.3
2022-01-13 14:00:00,1018.0,7.8,0.3,86.0,180.0,10.0,16.6
2022-01-13 15:00:00,1018.3,7.2,0.0,86.0,160.0,9.4,18.4
2022-01-13 16:00:00,1018.8,7.2,0.0,86.0,160.0,9.4,24.1
2022-01-13 17:00:00,1019.9,7.8,0.2,90.0,160.0,9.4,14.8
2022-01-13 18:00:00,1020.9,7.8,0.0,86.0,160.0,10.0,20.5
2022-01-13 19:00:00,1021.5,7.8,0.1,86.0,150.0,10.0,16.6
2022-01-13 20:00:00,1021.9,8.3,0.3,89.0,150.0,10.0,20.5
2022-01-13 21:00:00,1022.0,8.9,0.1,89.0,170.0,10.6,14.8
2022-01-13 22:00:00,1022.6,8.9,0.0,89.0,160.0,10.6,16.6
2022-01-13 23:00:00,1023.3,8.8,0.0,86.0,160.0,11.1,18.4
2022-01-14 00:00:00,1024.7,8.8,0.0,86.0,150.0,11.1,13.0
2022-01-14 01:00:00,1025.6,8.9,0.0,89.0,150.0,10.6,9.4
2022-01-14 02:00:00,1026.6,8.9,0.0,89.0,160.0,10.6,9.4
2022-01-14 03:00:00,1027.3,8.9,0.3,89.0,200.0,10.6,9.4
2022-01-14 04:00:00,1028.1,8.9,0.0,93.0,200.0,10.0,9.4
2022-01-14 05:00:00,1028.7,8.3,0.0,89.0,0.0,10.0,0.0
2022-01-14 06:00:00,1029.2,8.3,0.0,93.0,0.0,9.4,0.0
2022-01-14 07:00:00,1029.4,7.8,0.0,93.0,0.0,8.9,0.0
2022-01-14 08:00:00,1029.9,8.3,0.0,96.0,0.0,8.9,0.0
2022-01-14 09:00:00,1030.6,7.8,0.0,93.0,350.0,8.9,5.4
2022-01-14 10:00:00,1031.4,8.3,0.0,96.0,0.0,8.9,0.0
2022-01-14 11:00:00,1031.7,6.8,0.0,97.0,0.0,7.2,0.0
2022-01-14 12:00:00,1031.7,7.2,0.0,93.0,0.0,8.3,0.0
2022-01-14 13:00:00,1032.0,7.2,0.0,93.0,60.0,8.3,9.4
2022-01-14 14:00:00,1031.6,6.7,0.0,93.0,310.0,7.8,7.6
